q_waist_yaw_joint,q_waist_roll_joint,q_waist_pitch_joint,q_left_shoulder_pitch_joint,q_left_shoulder_roll_joint,q_left_shoulder_yaw_joint,q_left_elbow_joint,q_left_wrist_roll_joint,q_left_wrist_yaw_joint,q_left_wrist_pitch_joint,q_right_shoulder_pitch_joint,q_right_shoulder_roll_joint,q_right_shoulder_yaw_joint,q_right_elbow_joint,q_right_wrist_roll_joint,q_right_wrist_yaw_joint,q_right_wrist_pitch_joint,q_neck_yaw_joint,q_neck_roll_joint,q_neck_pitch_joint,pee_x,pee_y,pee_z
-0.45983556,0.32812002,0.16889159,0.18836338,-0.59289966,-1.26084888,-0.26720514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03890131190603937,-0.2836809327689644,1.19723214862984
1.34210881,0.07361173,0.15147684,-2.14226908,1.594669,1.21846877,-0.02209315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4321971132010059,0.09226435309461645,1.6115624325759754
-1.16617513,-0.23048152,-0.14251165,-0.109589,0.1487325,-0.76518696,0.61273425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18792004758620456,-0.14855760540853147,0.9301862765558322
-1.3213271,-0.1513187,-0.09728858,-0.38651352,1.0981431,-1.10075565,0.45761852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49399819366804026,-0.15607709371841944,1.0397024403510582
0.33871788,-0.3301841,0.07829265,-1.53775448,-0.83739998,1.64525527,1.1748893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25708569793544017,-0.09682593239713477,1.1387364377277602
1.13033796,-0.14224118,-0.2928947,0.53337598,0.17079247,-1.38530546,0.42733611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053934193505170994,-0.06271408445081415,0.9090175856176971
-1.70655919,0.29798525,-0.17560817,0.44584434,-0.17443109,0.07355331,0.50922263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547679554218384,-0.0832416545406751,0.9515249783200981
-1.15507145,0.34185761,0.2002967,1.56253667,1.392863,0.358823,1.10535816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25214385002403616,0.31359319495361365,1.7141706758780293
-1.50825728,-0.22132448,-0.33107453,-0.9136192,0.03243793,-0.83805153,0.9573639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589998744430436,-0.3369591770527212,1.1919099024350797
-0.52502771,-0.15947968,0.03108275,-1.65709298,1.14389202,-1.55935698,1.20866334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551195282662592,0.1329373798359401,1.4650428548110261
0.99783153,-0.21933498,-0.3599799,1.06245215,0.8876391,0.83935707,0.86604858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7315877392034383,0.0018259309034323369,1.0144988720463064
-1.56121154,-0.10303695,-0.27964732,1.25453134,0.66304947,-0.61979256,-0.25850578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24636365289842532,0.19439699155994156,1.0043417483844115
-0.69278759,-0.12726654,0.1671533,0.34519321,1.37239654,-0.10183786,-0.16946474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871340613201838,0.24587043543330278,1.1553489713763303
0.78158479,0.18985152,0.0446098,0.8830638,0.31497387,0.08332037,0.31986268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33718269077744756,0.13548751465558764,1.0528162357014206
-1.73943382,-0.28545504,-0.34111955,0.34056858,-0.16732214,0.0314133,1.08262313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09068062671417555,-0.038967182702770255,0.803212232349356
